time,x,z,vx,vz,theta,omega,delta,T_cmd,delta_d
0.088,0.00191857362976139,-0.00176917761542177,0.0740772669881413,-0.0881861778332315,-0.0224456976786585,-1.0276178353464,-0.137968022062194,3.21822146868142,-0.122896699537047
0.09,0.00207205377977597,-0.00195125874045142,0.0780881557895858,-0.0932983372198631,-0.0245643008114696,-1.083620541874,-0.138744011073743,3.20228802174349,-0.119345546949101
0.092,0.00223351611407211,-0.00214336904518458,0.0821753172960531,-0.0984402070464985,-0.02679231087351,-1.13998112315497,-0.139280133639418,3.18689376172849,-0.115579706540601
0.094,0.00240311360441214,-0.00234556945976087,0.0863341041324096,-0.103602848421817,-0.0291304482035688,-1.1965802639003,-0.139574606023223,3.17220448647368,-0.111605168386212
0.096,0.00258099922255841,-0.00255792091431987,0.0905598689235223,-0.108777322454497,-0.0315794331404352,-1.25329864882099,-0.139625644489161,3.15838466093874,-0.107427979800346
0.098,0.00276732594027326,-0.00278048433900121,0.0948479642942577,-0.113954690253219,-0.0341399860228982,-1.31001696262803,-0.139431465301236,3.14559875008338,-0.103054188097414
0.1,0.00296224672931904,-0.00301332066394447,0.0991937428694825,-0.119126012926662,-0.0368128271897472,-1.36661589003241,-0.138990284723449,3.13401121886727,-0.0984898405918309
0.102,0.00316590094622766,-0.0032564751804658,0.103592753885949,-0.124283799226005,-0.0395983169779902,-1.42297998431301,-0.13830103078976,3.1237865322501,-0.0937409845980074
0.104,0.00337837348660931,-0.00350993062458744,0.108041333027952,-0.129426348472435,-0.0424953757175122,-1.47900927302014,-0.13736547861395,3.11508915519156,-0.0888136674303561
0.106,0.00359973563084376,-0.00377365409350817,0.112536012591672,-0.134553407629637,-0.0455025637364174,-1.53460765227199,-0.136186115079755,3.10808355265133,-0.0837139364032894
0.108,0.00383005865931077,-0.00404761268442675,0.117073324873288,-0.139664723661298,-0.0486184413628098,-1.58967901818676,-0.134765427070912,3.10293418958911,-0.0784478388312197
0.11,0.00406941385239009,-0.00433177349454196,0.121649802168982,-0.144760043531105,-0.0518415689247935,-1.64412726688263,-0.133105901471158,3.09980292775436,-0.0730214528996349
0.112,0.00431787249046148,-0.00462610362105257,0.126261976774933,-0.149839114202744,-0.0551705067504726,-1.69785629447781,-0.131210025164231,3.09879175506134,-0.0674415668287626
0.114,0.00457550585390472,-0.00493057016115737,0.130906380987322,-0.154901682639901,-0.0586038151679512,-1.75076999709048,-0.129080285033865,3.09994278558914,-0.0617156788735702
0.116,0.00484238522309955,-0.00524514021205512,0.135579547102329,-0.159947495806263,-0.0621400545053333,-1.80277227083882,-0.126719167963799,3.10329553020661,-0.0558513181601004
0.118,0.00511858187842573,-0.00556978087094459,0.140278007416134,-0.164976300665517,-0.0657777850907231,-1.85376701184105,-0.124129160837769,3.1088894997826,-0.0498560138143963
0.12,0.00540416710026304,-0.00590445923502457,0.144998294224918,-0.169987844181348,-0.0695155672522246,-1.90365811621533,-0.121312750539512,3.11676420518598,-0.0437372949625005
0.122,0.00569920419717964,-0.00624915513188839,0.149737296130784,-0.174983222156257,-0.0733516879284422,-1.95235414977066,-0.118272917131155,3.12695915728558,-0.0375026907304562
0.124,0.00600372459049735,-0.00660389931070767,0.154493326959529,-0.179968925748,-0.0772833404999808,-1.99978235707916,-0.115014613388387,3.13951386695028,-0.031159730244306
0.126,0.00631775172972643,-0.00696873525104858,0.159265056842873,-0.184952794953144,-0.0813074449579458,-2.04587465240373,-0.111543285265287,3.15446784504891,-0.024715942630093
0.128,0.00664130906437709,-0.00734370643247731,0.164051155912537,-0.189942669768259,-0.0854209212934423,-2.09056295000727,-0.107864378715935,3.17186060245035,-0.01817885701386
0.13,0.00697442004395959,-0.00772885633456004,0.16885029430024,-0.194946390189913,-0.0896206894975757,-2.13377916415271,-0.103983339694409,3.19172911320235,-0.0115560151418863
0.132,0.00731710811798415,-0.00812422843686294,0.173661142137704,-0.199971796214676,-0.093903669561451,-2.17545520910295,-0.0999056141547896,3.21405200446788,-0.00485524902588755
0.134,0.00766939673596102,-0.00852986621895219,0.178482369556648,-0.205026727839116,-0.0982667814761738,-2.21552299912089,-0.0956366480511551,3.23874955652508,0.00191531905698386
0.136,0.00803130934740044,-0.00894581316039399,0.183312646688793,-0.210119025059802,-0.102706945232849,-2.25391444846944,-0.0911818873375853,3.26573951283101,0.00874755420933936
0.138,0.00840286940181264,-0.0093721127407545,0.188150643665858,-0.215256527873302,-0.107221080822582,-2.29056147141151,-0.0865467779681593,3.29493961684273,0.0156333215337903
0.14,0.00878410034870786,-0.00980880843959991,0.192995030619564,-0.220447076276186,-0.111806108236478,-2.32539598221002,-0.0817367658969563,3.32626761201731,0.0225644861329481
0.142,0.0091750230987005,-0.0102559762277475,0.197844667728355,-0.225699148347862,-0.116458726950876,-2.35835054585998,-0.0767575899754501,3.3596412418118,0.029532913109424
0.144,0.0095756484068216,-0.0107138220410192,0.202699175357567,-0.231023774499095,-0.121174754383049,-2.3893603302849,-0.071616160644691,3.39497824968327,0.0365304675658295
0.146,0.00998598448920636,-0.011182584306488,0.207558363919259,-0.236432623223492,-0.125949787435504,-2.4183611541404,-0.0663196812431237,3.43219637908877,0.043549014604776
0.148,0.01040603956199,-0.0116625014512268,0.212422043825492,-0.241937363014658,-0.130779423010748,-2.4452888360821,-0.0608753551091931,3.47121337348538,0.0505804193288747
0.15,0.0108358218413077,-0.0121538119023087,0.217290025488324,-0.247549662366198,-0.135659258011287,-2.47007919476563,-0.0552903855813439,3.51194522116486,0.0576165525798177
0.152,0.0112753395432946,-0.0126567540868066,0.222162119319814,-0.253281189771717,-0.140584889339628,-2.49266804884661,-0.0495719759980208,3.55426754161763,0.0646494171981489
0.154,0.011724600884086,-0.0131715664317936,0.227038135732024,-0.259143613724822,-0.145551913898279,-2.51299121698066,-0.0437273296976686,3.59801558553268,0.0716711480232644
0.156,0.0121836140798171,-0.0136984873643427,0.231917885137012,-0.265148602719118,-0.150555928589745,-2.5309845178234,-0.0377636500187321,3.64302284843375,0.0786738856336406
0.158,0.0126523873466231,-0.0142377553115267,0.236801177946837,-0.27130782524821,-0.155592530316534,-2.54658377003046,-0.0316881402996559,3.68912282584455,0.0856497706077544
0.16,0.0131309289006391,-0.0147896087004188,0.24168782457356,-0.277632949805703,-0.160657315981153,-2.55972479225745,-0.0255080038788849,3.73614901328883,0.0925909435240822
0.162,0.0136192455031483,-0.0153543214591708,0.246577552966684,-0.284135304881644,-0.165745657377173,-2.57034228418226,-0.0192305696943908,3.78393490629031,0.0994895449611007
0.164,0.0141173380960257,-0.0159323095202502,0.251469761225486,-0.290824858951837,-0.17085202586243,-2.57836646957184,-0.012863669082254,3.83231400037272,0.106337715497286
0.166,0.0146252061662942,-0.0165240243172034,0.256363764986689,-0.297711240488528,-0.175970667685822,-2.58372645321538,-0.00641525897808162,3.88111979105979,0.113127595711116
0.168,0.0151428492009765,-0.0171299172835766,0.261258879887014,-0.304804077963962,-0.181095829096251,-2.58635133990208,0.000106703682518892,3.93018577387525,0.119851326181066
0.17,0.0156702666870957,-0.0177504398529164,0.266154421563184,-0.312112999850386,-0.186221756342615,-2.58617023442115,0.00669426196394025,3.97934499238972,0.126501070320579
0.172,0.0162074581116745,-0.018386043458769,0.271049705651919,-0.319647634620043,-0.191342695673815,-2.58311224156179,0.0133394589305751,4.02842009525257,0.133069516747303
0.174,0.0167544229617359,-0.0190371795346808,0.275944047789943,-0.32741761074518,-0.196452893338751,-2.5771064661132,0.0200343376468162,4.07722333619188,0.139549879283094
